area;settore;plot;elevation;tri;tpi;rough;slope;flowdir;Ara_Aca;Ara_Ara;Ara_Pse;Mal_Iso;Chi_;Dip_;Pau_;Sym_;Ent_Dip;Ent_Col;Ins_Pso;Ins_Hem;Ins_Thy;Ins_Col;Ins_Hym;Ins_Dip;Ins_Lep
1;1.8;1.8.2;741.44;1.8;-0.1;6.4;12.9;128;47;0;3;0;0;0;0;0;3;77;1;0;1;4;0;5;0
1;1.8;1.8.3;749.97;1.2;0.1;4.2;8.6;128;76;0;0;0;0;0;1;0;1;34;0;0;2;6;0;0;0
1;1.9;1.9.1;752.45;1.6;-0.6;4.6;11.4;64;62;0;0;0;1;0;6;1;0;113;0;0;0;2;1;3;0
1;1.9;1.9.2;755.52;0.7;0.0;2.8;5.3;1;39;0;0;0;0;0;0;0;1;19;0;3;0;1;0;6;0
1;1.9;1.9.3;761.58;1.3;0.8;4.1;8.4;32;340;0;0;0;1;0;6;0;6;34;0;2;2;4;0;7;0
2;2.1;2.1.1;1135.52;4.0;0.4;14.6;28.8;8;48;0;0;0;5;1;0;1;0;28;0;1;0;0;0;2;0
2;2.1;2.1.2;1128.49;3.9;-1.9;13.1;26.1;16;19;0;0;0;0;0;0;0;0;45;0;2;0;0;0;1;0
2;2.1;2.1.3;1144.90;4.5;1.7;16.5;30.2;8;16;0;0;0;1;0;0;0;0;26;0;3;0;4;1;8;3
2;2.2;2.2.1;1142.77;2.5;0.0;8.5;18.1;4;104;0;0;0;0;1;0;0;0;45;0;0;0;1;0;1;0
2;2.2;2.2.2.;1143.81;2.7;0.5;8.8;18.8;8;22;0;0;0;0;2;0;0;0;5;0;1;0;3;0;12;0
2;2.2;2.2.3;1128.83;3.1;-0.9;8.9;21.4;4;81;0;0;0;0;3;0;0;0;22;1;4;0;8;0;8;0
2;2.3;2.3.1;1106.04;3.0;0.3;11.7;22.5;2;15;0;0;0;0;0;0;0;0;76;0;6;1;12;0;4;0
2;2.3;2.3.2;1110.63;2.2;-2.2;5.9;13.4;4;53;0;0;0;0;0;0;0;0;28;0;4;0;3;0;5;0
2;2.3;2.3.3;1122.08;3.9;3.1;12.0;22.8;2;7;0;0;0;0;0;0;0;0;5;1;1;0;2;31;4;0
2;2.4;2.4.1;1127.10;3.9;0.1;12.8;26.1;8;33;0;0;0;6;0;1;0;1;60;0;4;0;5;2;8;0
2;2.4;2.4.2;1144.34;3.7;-0.1;14.0;26.5;8;106;0;0;0;0;3;0;0;0;86;0;0;0;6;1;8;0
2;2.4;2.4.3;1142.76;2.8;1.2;9.8;19.2;8;29;0;0;0;0;0;0;0;0;168;0;1;0;2;0;4;0
2;2.5;2.5.1;1094.77;3.1;-0.8;8.9;21.7;4;93;0;0;0;1;0;0;1;0;189;0;3;0;8;0;15;0
2;2.5;2.5.2;1092.31;3.2;-1.6;9.9;22.3;4;52;0;0;0;4;0;9;6;20;198;0;0;0;11;0;2;0
2;2.5;2.5.3;1089.66;2.9;-1.3;9.8;19.5;1;56;0;0;0;2;4;0;0;0;74;0;2;0;2;0;3;0
2;2.6;2.6.1;1088.97;1.8;-0.7;6.2;12.8;16;4;0;0;0;0;1;0;0;0;9;0;1;0;6;0;14;0
2;2.6;2.6.2;1115.12;4.9;0.6;15.4;31.9;4;64;0;0;1;0;0;4;0;0;90;0;0;0;25;0;0;0
2;2.6;2.6.3;1121.59;3.6;1.1;10.9;25.2;4;63;0;0;0;0;6;0;0;0;135;0;0;0;20;1;13;0
2;2.7;2.7.1;1076.55;5.4;-0.0;18.2;34.5;16;28;0;0;0;0;2;0;0;0;90;0;1;0;3;2;9;0
2;2.7;2.7.2;1084.03;4.7;-0.3;15.7;30.9;16;51;0;0;0;1;1;4;1;0;187;0;0;0;3;1;20;0
2;2.7;2.7.3;1098.32;3.9;-0.0;13.2;26.5;16;30;1;0;0;0;0;8;1;0;53;0;0;0;4;0;14;0
2;2.8;2.8.1;1158.38;1.5;-0.8;4.7;10.4;4;72;0;0;0;0;1;0;0;0;59;0;3;0;6;1;2;0
2;2.8;2.8.2;1151.52;2.3;-0.8;6.3;14.9;4;7;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0
2;2.8;2.8.3;1155.88;2.6;0.5;8.2;17.8;4;0;0;0;0;0;0;2;1;0;73;0;3;0;0;1;5;0
2;2.9;2.9.1;1035.78;4.7;0.3;18.7;32.7;8;28;0;1;0;0;0;2;0;0;143;0;0;1;4;1;9;0
2;2.9;2.9.2;1042.35;4.6;-0.3;16.1;30.4;8;72;0;0;0;0;0;1;0;0;210;0;0;0;8;0;9;0
2;2.9;2.9.3;1049.93;4.8;0.9;18.6;33.5;8;22;0;0;0;0;0;0;0;0;91;0;0;0;3;0;27;0
