area;settore;plot;x;y;elevation;tri;tpi;rough;slope;flowdir;Abi_alb_;Pin_nig_;Ace_opa_;Ace_pse_;Pru_spi_;Fra_orn_;Ros_sp._;Jun_com_;Cor_mas_;Que_cer_;Que_pub_;Ace_cam_;Cra_mon_;Ost_car_;Ulm_cam_;Sor_auc_;Ile_aqu_;Sor_tor_;Pyr_pyr_;Aln_glu_;Aln_cor_;Sal_cap_;Pru_avi_;Mal_syl_;Pse_men_;Pin_syl_;Bra_rup_;Rub_can_;Car_fla_;Hed_hel_;Dac_glo_;Bug_pur_;Bro_ram_;Equ_sp._;Cle_vit_;Bri_med_;Vic_spa_Och;Lon_sp._;Dau_car_;Vio_rei_;Pot_rec_;Tri_pra_;Cli_vul_;Mel_uni_;Tus_far_;Dor_pen_;Hol_lan_;Dor_hir_;Teu_cha_;Lot_cor_;Ono_spi_;Orc_mac_;Sca_col_;Cru_gla_;Hyp_sp._;Lat_syl_;Gen_tin_;Gen_sp._;Gal_luc_;Con_sp._;Cor_sp._;Hip_com_;Tri_sp._;Phl_pra_;Tam_com_;Bla_per_;Ran_sp._;Cor_eme_;Aru_mac_;Leu_vul_;Spa_jun_;Hel_foe_;Poa_nem_;Sil_sp._;Mon_hyp_;San_min_;Pla_lan_;Ach_mil_;Fes_het_;Pri_ver_;Tri_cam_;Rap_rug_;Cre_sp._;Car_pen_;Dip_ful_;Aju_rep_;Ast_mon_;Sp1_Pic_suf;Gal_rot_;Cep_dam_;Med_fal_;Tar__;Tri_rep_;Inu_sp._;Jun_sp._;Tra_por_;Bis_sp._;Cer_lig_;Arc_lap_;Pic_hie_;Pte_aqu_;Rub_ida_;Cyt_sco_;Fag_syl_;Ced_deo_;Sal_glu_;Mur_zan_;Sed_sp._;Cre_leo_;Pla_bif_;Dig_mic_;Moe_tri_;Ver_off_;Luz_niv_;Fra_ves_;Ant_odo_;Epi_mon_;Orc_sp._;Sen_ova_;Ger_sp._;Teu_sco_;Ver_fil_;Eri_car_;Bun_bul_;Cam_sp._;Hel_ita_
1;1.9;1.9.1;714695.31;4756923.40;752.45;1.6;-0.6;4.6;11.4;64;0;8;2;0;3;3;2;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;9;5;3;2;3;2;0;2;0.1;2;0;1;1;0;1;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.9;1.9.2;714710.70;4756897.07;755.52;0.7;0.0;2.8;5.3;1;0;7;0;0;2;0;1;2;2;0;0;0;2;0;0;2;0;3;3;0;0;0;0;0;0;0;8;7;3;0;3;0;0;3;0;2;0;2;2;0;1;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1.9;1.9.3;714700.47;4756859.50;761.58;1.3;0.8;4.1;8.4;32;0;8;2;0;2;2;1;2;2;0;0;0;2;0;0;0;0;1;3;0;0;0;0;0;1;0;9;1;3;0;3;0;0;0;0;2;0;0;0;0;1;1;0;0;0;2;0;1;0;2;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2.1;2.1.1;718557.44;4830886.51;1135.52;4.0;0.4;14.6;28.8;8;5;9;1;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;8;0;0;5;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2.1;2.1.2;718568.94;4830859.49;1128.49;3.9;-1.9;13.1;26.1;16;5;8;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;7;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2.1;2.1.3;718591.42;4830865.60;1144.90;4.5;1.7;16.5;30.2;8;5;9;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2.2;2.2.1;718651.18;4830822.85;1142.77;2.5;0.0;8.5;18.1;4;1;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;7;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2.2;2.2.2.;718678.26;4830811.41;1143.81;2.7;0.5;8.8;18.8;8;2;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;1;1;0;1;0;0;1;2;3;1;0;0;0;0;0;0;0;0;0
2;2.2;2.2.3;718669.69;4830749.12;1128.83;3.1;-0.9;8.9;21.4;4;2;9;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2.3;2.3.1;718432.60;4830818.85;1106.04;3.0;0.3;11.7;22.5;2;8;7;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
